NetworkFilename,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
007696_B6NJ_F_40mg-kg_called B6J.avi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
007697_B6NJ_F_40mg-kg_called B6J.avi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
007698_B6NJ_F_40mg-kg_called B6J.avi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
007699_B6NJ_F_40mg-kg_called B6J.avi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
007656_B6J_F_60mg-kg.avi,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
007657_B6J_F_60mg-kg.avi,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
007742 B6NJ M vehicle NV5_2022-03-25_13-28-00.avi,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
007681_B6J_M_60mg-kg_.avi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
007727_B6NJ_M_60mg-kg_.avi,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
007730_B6NJ_M_60mg-kg_.avi,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
007686_B6J_M_80mg-kg_.avi,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
007687_B6J_M_80mg-kg_.avi,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
007665_B6J_F_vehicle_.avi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
007666_B6J_F_vehicle_.avi,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
007667_B6J_F_vehicle_.avi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
007668_B6J_F_vehicle_.avi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
007669_B6J_F_vehicle_.avi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
007670_B6J_F_vehicle_.avi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
007689_B6J_M_vehicle_.avi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
007690_B6J_M_vehicle_.avi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
007691_B6J_M_vehicle_.avi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
007692_B6J_M_vehicle_.avi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
007693_B6J_M_vehicle_.avi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
007694_B6J_M_vehicle_.avi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
007713_B6NJ_F_vehicle_.avi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
007714_B6NJ_F_vehicle_.avi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
007715_B6NJ_F_vehicle_.avi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
007716_B6NJ_F_vehicle_.avi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
007717_B6NJ_F_vehicle_.avi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
007718_B6NJ_F_vehicle_.avi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
007738_B6NJ_M_vehicle_.avi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
007740_B6NJ_M_60mg-kg_.avi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
007741_B6NJ_M_vehicle_.avi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
007676 B6J M 40 mg-kgNV10 or NV11 video_recording_2022-03-22_11-03-40.avi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
