"MouseID","Freeze_001_average_bout_length","Freeze_001_bout_count","Freeze_001_first_event","Freeze_001_observation_time_s","Freeze_001_total_time_s","Freeze_2cm_average_bout_length","Freeze_2cm_bout_count","Freeze_2cm_first_event","Freeze_2cm_observation_time_s","Freeze_2cm_total_time_s","Leg_splaying_average_bout_length","Leg_splaying_bout_count","Leg_splaying_first_event","Leg_splaying_observation_time_s","Leg_splaying_total_time_s","Side_seizure_average_bout_length","Side_seizure_bout_count","Side_seizure_first_event","Side_seizure_observation_time_s","Side_seizure_total_time_s","Tail_jerk_average_bout_length","Tail_jerk_bout_count","Tail_jerk_first_event","Tail_jerk_observation_time_s","Tail_jerk_total_time_s","Wild_jumping_average_bout_length","Wild_jumping_bout_count","Wild_jumping_first_event","Wild_jumping_observation_time_s","Wild_jumping_total_time_s","NetworkFilename"
"007647",3.67380952380952,14,154.833333333333,800.3,51.4333333333333,8.6991341991342,77,59.8666666666667,800.3,669.833333333333,NA,0,0,800.533333333333,0,NA,0,0,800.533333333333,0,NA,0,0,800.533333333333,0,NA,0,0,800.533333333333,0,"007647_B6J_F_40mg-kg.avi"
"007648",6.09666666666667,10,172.833333333333,761.066666666667,60.9666666666667,12.8262411347518,47,101,761.266666666667,602.833333333333,NA,0,0,766.7,0,NA,0,0,766.7,0,NA,0,0,766.7,0,NA,0,0,766.7,0,"007648_B6J_F_40mg-kg.avi"
"007649",4.08333333333333,16,143.266666666667,686.9,65.3333333333333,7.09677419354839,62,137.266666666667,686.6,440,NA,0,0,688.733333333333,0,NA,0,0,688.733333333333,0,NA,0,0,688.733333333333,0,NA,0,0,688.733333333333,0,"007649_B6J_F_40mg-kg.avi"
"007650",4.52948717948718,26,109.366666666667,682.233333333333,117.766666666667,7.93387096774194,62,79.8666666666667,682.233333333333,491.9,NA,0,0,682.8,0,NA,0,0,682.8,0,NA,0,0,682.8,0,NA,0,0,682.633333333333,0,"007650_B6J_F_40mg-kg.avi"
"007651",3.84444444444444,15,203.033333333333,702.066666666667,57.6666666666667,10.2830188679245,53,74.3333333333333,702.066666666667,545,NA,0,0,702.7,0,NA,0,0,702.7,0,NA,0,0,702.7,0,NA,0,0,702.7,0,"007651_B6J_F_40mg-kg.avi"
"007652",4.38245614035088,19,119.466666666667,678.1,83.2666666666667,12.3270833333333,48,88.3333333333333,678.1,591.7,NA,0,0,679.066666666667,0,NA,0,0,679.066666666667,0,NA,0,0,679.066666666667,0,NA,0,0,679.066666666667,0,"007652_B6J_F_40mg-kg.avi"
"007653",3.41666666666667,2,157.533333333333,187.866666666667,6.83333333333333,7.73611111111111,12,99,187.866666666667,92.8333333333333,2.54761904761905,7,91.5666666666667,194.133333333333,17.8333333333333,2.34444444444444,3,115.733333333333,193.966666666667,7.03333333333333,0.393333333333333,15,75.4333333333333,194.133333333333,5.9,0.744444444444444,3,114.6,193.966666666667,2.23333333333333,"007653_B6J_F_60mg-kg.avi"
"007654",3.7,1,175.6,166.7,3.7,3.8625,8,143.733333333333,166.7,30.9,1.9,1,197.1,169.1,1.9,3.56666666666667,2,188.8,169.1,7.13333333333333,0.377777777777778,15,79.3,169.1,5.66666666666667,0.566666666666667,1,184.166666666667,169.1,0.566666666666667,"007654_B6J_F_60mg-kg.avi"
"007656",3.23333333333333,1,157.6,170.766666666667,3.23333333333333,6.55833333333333,8,78.0333333333333,170.766666666667,52.4666666666667,15.3666666666667,3,174.833333333333,171.2,46.1,4.8,1,165.9,171.2,4.8,0.491666666666667,4,164.4,171.2,1.96666666666667,0.633333333333333,1,165.533333333333,171.2,0.633333333333333,"007656_B6J_F_60mg-kg.avi"
"007657",1.53333333333333,2,154.666666666667,128.366666666667,3.06666666666667,3.85,4,138.833333333333,128.233333333333,15.4,24.2,1,122.2,130.166666666667,24.2,5.56666666666667,1,116.333333333333,130.033333333333,5.56666666666667,0.68,5,104.3,130.166666666667,3.4,NA,0,0,130.166666666667,0,"007657_B6J_F_60mg-kg.avi"
