"MouseID","startframe","endframe","NetworkFilename"
"037941",73988,84410,"037941_B6J_F_38835.avi"
"037819",43090,53169,"037819_B6NJ_F_38713.avi"
"037821",79630,92758,"037821_B6NJ_F_38715.avi"
"037818",29084,40584,"037818_B6NJ_F_38712.avi"
"037820",66165,78389,"037820_B6NJ_F_38714.avi"
"037949",59368,69519,"037949_B6NJ_M_38843.avi"
"037823",43810,55122,"037823_B6NJ_F_38717.avi"
"037950",74905,85848,"037950_B6NJ_M_38844.avi"
"037822",29100,41034,"037822_B6NJ_F_38716.avi"
"037952",72721,83438,"037952_B6NJ_M_38846.avi"
"037953",58031,70315,"037953_B6NJ_M_38847.avi"
"037954",86488,99189,"037954_B6NJ_M_38848.avi"
"037951",43010,54450,"037951_B6NJ_M_38845.avi"
